Title,Author,Genre,Release_year,Number_of_pages,Language
The Three-Body Problem,Liu Cixin,Sci Fi,2006,399,English
The Drak Forest,Liu Cixin,Sci Fi,2008,512,English
Death's End,Liu Cixin,Sci Fi,2010,604,English
The Last Wish,Andrzej Sapkowski,Fantasy,1993,400,English
Sword of Destiny,Andrzej Sapkowski,Fantasy,1992,384,English
Blood of Elves,Andrzej Sapkowski,Fantasy,1994,398,English
Time of Contempt,Andrzej Sapkowski,Fantasy,1995,331,English
Baptism of Fire,Andrzej Sapkowski,Fantasy,1996,349,English
The Tower of the Swallow,Andrzej Sapkowski,Fantasy,1997,448,English
Lady of the Lake,Andrzej Sapkowski,Fantasy,1999,531,English
Season of Storms,Andrzej Sapkowski,Fantasy,2013,419,English
A Game of Thrones,George R.R. Martin,Fantasy,1996,835,English
A Clash of Kings,George R.R. Martin,Fantasy,1998,969,English
A Storm of Swords,George R.R. Martin,Fantasy,2000,1177,English
A Feast for Crows,George R.R. Martin,Fantasy,2005,1061,English
A Dance with Dragons,George R.R. Martin,Fantasy,2011,1125,English
