Title,Directed_by,Genre,Release_year,Runtime,Number_of_awards
The Godfather,Francis Ford Coppola,Crime/Drama,1972,175,32
The Godfather 2,Francis Ford Coppola,Crime/Drama,1974,202,17
The Godfather 3,Francis Ford Coppola,Crime/Drama,1990,162,6
Goodfellas, Martin Scorsese,Biography/Crime,1990,175,44
The Shawshank Redemption,Frank Darabont,Drama,1994,142,21
Pulp Fiction,Quentin Tarantino,Crime/Drama,1994,156,70
Schindler's List,Steven Spielberg,Biography/Drama,1993,195,91
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Action/Adventure,2001,178,121
The Lord of the Rings: The Two Towers,Peter Jackson,Action/Adventure,2002,179,126
The Lord of the Rings: The Return of the King,Peter Jackson,Action/Adventure,2003,201,209
Fight Club,David Fincher,Drama,1999,139,11
There Will Be Blood, Pual Thomas Anderson,Drama,2007,158,118
Interstellar,Christopher Nolan,Adventure/Drama,2014,169,44
The Prestige,Christopher Nolan,Drama/Mystery,2006,130,6
Scarface,Brian De Palma,Crime/Drama,1983,170,0
